Component,Business Type,Business Sub Type,Producer/Sub Producer Name,Source Id,Account Policy Number,Group Number,Group/  Policy Name,Orignal Eff Date,Producer Eff Date,Cancel Date,Product Name,Funding Type,Calculation   Method,Number of Contracts,Split  %,Policy Mos,Paid From Date,Paid To Date,Compensated Premium,Override/ Commission Rate,Override/ Commission Amount,YTD Compensated Premium,YTD Override/ Commission,GA Name,Billing Mode
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,273325,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,Non-HMO,PREM,% Premium,1,75.00%,84,7/1/2026,8/1/2026,"$1,942.81 ",4.25%,$61.93 ,"$15,507.65 ",$494.33 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,273326,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,HMO,PREM,% Premium,0,75.00%,84,7/1/2026,8/1/2026,$0.00 ,4.25%,$0.00 ,$0.00 ,$25.05 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,342223,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,Dental,PREM,% Premium,0,75.00%,84,7/1/2026,8/1/2026,$0.00 ,10.00%,$0.00 ,$0.00 ,$1.45 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,309439,443911,CLAYMARC SUH LLC,1/1/2021,1/1/2021, ,Non-HMO,PREM,% Premium,2,75.00%,67,7/1/2026,8/1/2026,"$3,879.38 ",4.25%,$123.66 ,"$27,155.66 ",$865.62 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,315603,BAYLAB USA LLC,2/1/2021,2/1/2021, ,HMO,PREM,% Premium,5,100.00%,66,7/1/2026,8/1/2026,"$5,819.85 ",4.25%,$247.34 ,"$43,317.27 ","$1,840.99 ",AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,343044,BAYLAB USA LLC,2/1/2021,2/1/2021, ,Non-HMO,PREM,% Premium,0,100.00%,66,7/1/2026,8/1/2026,$0.00 ,4.25%,$0.00 ,$0.00 ,$0.00 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,343045,BAYLAB USA LLC,2/1/2021,2/1/2021, ,Dental,PREM,% Premium,0,100.00%,66,7/1/2026,8/1/2026,$0.00 ,10.00%,$0.00 ,$0.00 ,$0.00 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,364817,364817,FAMILY CENTER VITALEHEALTH PLLC,4/1/2023,4/1/2023, ,HMO,PREM,% Premium,10,100.00%,40,7/1/2026,8/1/2026,"$6,843.65 ",4.25%,$290.86 ,"$50,375.36 ","$2,140.97 ", , 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,364817,365196,FAMILY CENTER VITALEHEALTH PLLC,4/1/2023,4/1/2023, ,Dental,PREM,% Premium,10,100.00%,40,7/1/2026,8/1/2026,$573.30 ,10.00%,$57.33 ,"$4,517.17 ",$451.74 , , 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,394203,394203,AMBICENT MANAGEMENT LLC,8/1/2024,8/1/2024, ,HMO,PREM,% Premium,2,100.00%,24,7/1/2026,8/1/2026,"$1,649.98 ",4.25%,$70.12 ,"$13,199.84 ",$560.96 , , 
